ID,Name,Concepticon_ID,Concepticon_Gloss,Number
158_stone,stone,857,STONE,158
159_straight,straight,1404,STRAIGHT,159
160_suck,suck,1421,SUCK,160
161_sun,sun,1343,SUN,161
162_swell,swell,1573,SWELL,162
163_swim,swim,1439,SWIM,163
164_tail,tail,1220,TAIL,164
165_that,that,78,THAT,165
166_there,there,1937,THERE,166
167_they,they,817,THEY,167
168_thick,thick,1244,THICK,168
169_thin,thin,2308,THIN,169
170_think,think,1415,THINK (REFLECT),170
171_this,this,1214,THIS,171
172_thou,thou,1215,THOU,172
173_three,three,492,THREE,173
174_throw,throw,1456,THROW,174
175_tie,tie,1917,TIE,175
176_tongue,tongue,1205,TONGUE,176
177_tooth,tooth,1380,TOOTH,177
178_tree,tree,906,TREE,178
179_true,true,1657,TRUE,179
180_two,two,1498,TWO,180
181_vomit,vomit,1278,VOMIT,181
182_wash,wash,1453,WASH,182
183_water,water,948,WATER,183
184_we,we,1212,WE,184
185_wet,wet,1726,WET,185
186_what,what,1236,WHAT,186
187_white,white,1335,WHITE,187
188_who,who,1235,WHO,188
189_wide,wide,1243,WIDE,189
190_wife,wife,1199,WIFE,190
191_wind,wind,960,WIND,191
192_wing,wing,1257,WING,192
193_wipe,wipe,1454,WIPE,193
194_with,with,1340,WITH,194
195_woman,woman,962,WOMAN,195
196_woods,woods,420,FOREST,196
197_worm,worm,1219,WORM,197
198_year,year,1226,YEAR,198
199_yellow,yellow,1424,YELLOW,199
200_you,you,1213,YOU,200
